id;nombre;TiposExamen_id;requiereAutorizacion;citaControl;codigoCups;codigoRips;concepto_id;edadFin;edadIni;estadoReg;tipoRadiologia_id;solicitaEnfermeria;centroCosto;cita1Vez;consentimientoInformado;cuentaContable;cupsCategoria;cupsGrupo;cupsSubgrupo;distribucionTerceros;duracion;finalidad;manejaInterfaz;nivelAtencion;resolucion1132;grupoQx_id;cantidadUvr;honorarios;cupsSubCategoria;tipoHonorario_id
3500;INSTILACION GENITOURINARIA SOD;4;N;N;964900;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3501;IRRIGACION Y LAVADO DEL OJO SOD;4;N;N;965100;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3502;LAVADO E IRRIGACION DE OIDOS;4;N;N;965201;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3505;IRRIGACION O CURACION DE CONDUCTOS NASALES;4;N;N;965301;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3506;LIMPIEZA Y CUIDADOS DE TRAQUEOSTOMIA SOD;4;N;N;965500;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3507;LAVADO, IRRIGACION Y CUIDADOS DE HERIDA EN AREA GENERAL;4;N;N;965901;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3508;LAVADO, IRRIGACION Y CUIDADOS DE HERIDA EN AREA ESPECIAL;4;N;N;965902;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3509;INSEMINACION ARTIFICIAL;4;N;N;967001;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3679;INFORMACION, EDUCACION Y COMUNICACION EN FOMENTO DE FACTORES PROTECTORES HACIA EL CONTROL DE ENFERMEDADES TRANSMISIBLES POR ALIMENTOS Y BEBIDAS;4;N;N;A10203;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3681;INFORMACION, EDUCACION Y COMUNICACION EN FOMENTO DE FACTORES PROTECTORES HACIA EL CONTROL DE ENFERMEDADES CRONICAS METABOLICAS;4;N;N;A10301;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3682;INFORMACION, EDUCACION Y COMUNICACION EN FOMENTO DE FACTORES PROTECTORES HACIA EL CONTROL DE ENFERMEDADES CRONICAS CARDIOVASCULARES;4;N;N;A10302;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3683;INFORMACION, EDUCACION Y COMUNICACION EN FOMENTO DE FACTORES PROTECTORES HACIA EL CONTROL DE ENFERMEDADES CRONICAS ONCOLOGICAS;4;N;N;A10303;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3684;INFORMACION, EDUCACION Y COMUNICACION HACIA EL FOMENTO DE CONTROL DE FACTORES DE RIESGOS FISICOS Y QUIMICOS, EN EL AGUA PARA CONSUMO HUMANO;4;N;N;A10401;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3392;RENOGRAMA BASAL Y POST CAPTOPRIL;4;N;N;920808;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;25;;;7
487;ALDOLASA;1;S;N;903402;0;15;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
114;GLUCOMETRIA;1;S;N;M19275;0;15;120;0;A;4;.;;;;;;;;;;;;;;24;42;;;7
2112;HISTEROSALPINGOGRAFIA;3;N;N;877901;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;;;;7
2487;FOTOFERESIS;3;S;N;998305;0;15;120;0;A;4;.;;;;;;;;;;;;;;24;42;;;7
1962;PERFILOGRAMA CON CEFALOMETRIA;3;N;N;870002;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;25;;;7
2451;OCULOPLETISMOGRAFIA;3;N;N;951801;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;25;;;7
1869;ABLACION DE PESTA—AS (SUPERIOR O INFERIOR);3;N;N;89104;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1870;ABLACION DE PESTA—AS VIA ABIERTA;3;N;N;89105;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1884;BIOPSIA DE LA GLANDULA LAGRIMAL;3;N;N;91101;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1885;BIOPSIA DE LA VIA LAGRIMAL;3;N;N;91201;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1938;ALARGAMIENTO INTESTINAL;3;N;N;467904;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1942;APENDICOSTOMIA VIA ABIERTA;3;N;N;472001;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1943;APENDICOSTOMIA VIA LAPAROSCOPICA;3;N;N;472002;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
1956;BIOPSIA CERRADA (PERCUTANEA) (AGUJA) DE HIGADO;3;N;N;501002;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2006;APICOGRAMA;3;N;N;871202;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2692;TERAPIA DE FILTROS SOD;2;S;N;999200;0;2;120;0;A;4;.;;;;;;;;;;;;;;24;25;;;7
4024;DESBRIDAMIENTO, LAVADO Y LIMPIEZA DE ARTICULACION DE CADERA VIA ABIERTA;5;N;N;808051;0;5;120;0;A;4;;;;;;;;;;;;;;;24;;;;7
2365;21 HIDROXILASA ANTICUERPOS SEMIAUTOMATIZADO O AUTOMATIZADO;3;N;N;906494;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
4028;HABITACION BIPERSONAL;7;N;N;S11102;0;7;120;0;A;4;N;;N;N;;;;;N;;N;N;;;24;;N;;7
2127;ARTROGRAFIA DE CADERA;3;N;N;878811;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2128;ARTROGRAFIA DE TOBILLO;3;N;N;878831;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2130;ABLACION DE LESION O TEJIDO VIA PERCUTANEA;3;N;N;878905;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2290;ANGIORRESONANCIA DE TORAX (SIN INCLUIR CORAZON);3;N;N;883341;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2346;ACTIVIDAD DEL FACTOR VON WILLEBAND;3;N;N;902072;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2348;ANTIGENO DE FACTOR VON WILLEBRAND PRE Y POST ESTIMULO (ESPECIFICO) HASTA 6 MUESTRAS;3;N;N;902074;0;15;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2349;ACTIVIDAD DE FACTOR VON WILLEBRAND PRE Y POST ESTIMULO (ESPECIFICO) HASTA 6 MUESTRAS;3;N;0;902075;0;15;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
2353;ANDROSTERONA ;3;N;0;904512;0; ;120;0;A;4;.;;;;;;;;;;;;;;5;31;;;
2363;ANTICUERPOS ANTI RECEPTOR DE TSH SEMIAUTOMATIZADO O AUTOMATIZADO;3;N;0;906492;0; ;120;0;A;4;.;;;;;;;;;;;;;;5;31;;;
2367;ANTICUERPOS ANTIFOSFOLIPASA A2;3;N;0;906497;0; ;120;0;A;4;.;;;;;;;;;;;;;;5;31;;;
2371;ANTICUERPOS DONANTE ESPECIFICO (DONANTE - RECEPTOR TRASPLANTE);3;N;0;906520;0; ;120;0;A;4;.;;;;;;;;;;;;;;5;31;;;
2372;ANTICUERPOS ANTI HLA CLASE I (P.R.A) CUALITATIVO;3;N;0;906521;0; ;120;0;A;4;.;;;;;;;;;;;;;;5;31;;;
2373;ANTICUERPOS ANTI HLA CLASE II (P.R.A) CUALITATIVO;3;N;0;906522;0; ;120;0;A;4;.;;;;;;;;;;;;;;5;31;;;
2374;ANTICUERPOS ANTI HLA CLASE I (P.R.A) CUANTITATIVO;3;N;0;906523;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2375;ANTICUERPOS ANTI HLA CLASE II (P.R.A) CUANTITATIVO;3;N;0;906524;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2376;ANTICUERPOS ANTI HLA ANTIGENO AISLADO CLASE I;3;N;0;906525;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2377;ANTICUERPOS ANTI HLA ANTIGENO AISLADO CLASE II;3;N;0;906526;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2380;APOPTOSIS DE LINFOCITOS T;3;N;0;906778;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2400;BIOTINIDASA ACTIVIDAD;3;N;0;908355;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2401;ACIDOS ORGANICOS DE CADENA CORTA Y MEDIA CUALITATIVO;3;N;0;908356;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2402;ACIDOS ORGANICOS DE CADENA CORTA Y MEDIA CUANTITATIVO;3;N;0;908357;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2405;Adenovirus IDENTIFICACION REACCION EN CADENA DE LA POLIMERASA;3;N;0;908847;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2432;ADMINISTRACION [APLICACION] DE PRUEBA DE INTELIGENCIA (CUALQUIER TIPO) (CADA UNA);3;N;0;940101;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2433;ADMINISTRACION [APLICACION] DE PRUEBA DE PERSONALIDAD (CUALQUIER TIPO) (CADA UNA);3;N;0;940201;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2450;ABERROMETRIA OCULAR;3;N;0;951503;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
4025;LIMPIEZA Y DESBRIDAMIENTO QUIRURGICOS DE MUSCULOS, TENDONES Y FASCIA EN MUSLO;5;N;;834930;;;;;A;;;;;;;;;;;;;;;;;;;;
4029;HABITACION TRES CAMAS;7;N;N;S11103;;1;;;A;;N;;N;N;;;;;N;;N;N;;;;;N;;
1737;LISIS O RESECCION DE ADHERENCIAS EXTRADURALES EN MEDULA ESPINAL O RAICES DE NERVIOS ESPINALES VIA PERCUTANEA;3;N;0;36103;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1742;INYECCION DE ANESTESICO EN EL CANAL ESPINAL;3;N;0;39101;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1743;INYECCION DE OTRA SUSTANCIA TERAPEUTICA EN EL CANAL ESPINAL;3;N;0;39102;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1748;IMPLANTACION DE ELECTRODOS DE NEUROESTIMULACION ESPINAL POR LAMINECTOMIA;3;N;0;39304;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1749;IMPLANTACION DE ELECTRODOS DE NEUROESTIMULACION ESPINAL POR LAPAROSCOPIA;3;N;0;39305;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1750;IMPLANTACION DE ELECTRODOS DE NEUROESTIMULACION ESPINAL VIA PERCUTANEA;3;N;0;39306;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1756;IMPLANTACION DE NEUROESTIMULADOR DE NERVIO VAGO;3;N;0;40601;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1815;INFUSION CONTINUA DE OTRA SUSTANCIA TERAPEUTICA PARA NERVIO PERIFERICO;3;N;0;48202;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1816;INYECCION DE AGENTE ANESTESICO EN ESPACIO INTERFASCIAL DE NERVIO PERIFERICO;3;N;0;48203;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1818;INYECCION DE ANESTESIA EN NERVIO DE FACETA ARTICULAR VERTEBRAL CON FINES ANALGESICOS;3;N;0;48301;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1819;INYECCION DE ANESTESIA EN DISCO INTERVERTEBRAL CON FINES ANALGESICOS;3;N;0;48401;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1820;INYECCION DE ANESTESIA EN ARTICULACION SACROILIACA CON FINES ANALGESICOS;3;N;0;48402;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1821;INYECCION DE ANESTESIA TRANSFORAMINAL CON FINES ANALGESICOS;3;N;0;48403;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
4026;SUTURA DE MUSCULO O TENDON O FASCIA O APONEUROSIS VIA ABIERTA;5;N;;836001;;;;;A;;;;;;;;;;;;;;;;;;;;
4030;SERVICIO DE COMPLEJIDAD MEDIANA HABITACION UNIPERSONAL;7;N;N;S11201;;1;;;A;;N;;N;N;;;;;N;;N;N;;;;;N;;
1822;INYECCION DE ANESTESIA EPIDURAL CAUDAL CON FINES ANALGESICOS;3;N;0;48404;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1773;NEURECTOMIA O RESECCION DE TUMOR BENIGNO EN HUECO POPLITEO VIA ABIERTA;3;N;0;40723;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1774;RESECCION DE TUMOR BENIGNO DE NERVIO EN PIERNA VIA ABIERTA;3;N;0;40725;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1775;RESECCION DE TUMOR MALIGNO DE NERVIO EN PIERNA VIA ABIERTA;3;N;0;40726;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1776;RESECCION DE TUMOR BENIGNO DE NERVIO EN TOBILLO VIA ABIERTA;3;N;0;40727;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1778;RESECCION DE TUMOR BENIGNO DE NERVIO EN PIE VIA ABIERTA;3;N;0;40729;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1890;INTUBACION DE VIA LAGRIMAL VIA ENDOSCOPICA;3;N;0;94402;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1834;RESECCION DE CHALAZION VIA ANTERIOR;3;N;0;82101;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1835;RESECCION DE CHALAZION VIA POSTERIOR;3;N;0;82102;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1836;RESECCION DE TUMOR BENIGNO O MALIGNO DE PARPADO, ESPESOR PARCIAL, MAYOR DE DOS TERCIOS;3;N;0;82304;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1837;RESECCION DE TUMOR BENIGNO O MALIGNO DE PARPADO, ESPESOR TOTAL, UN TERCIO;3;N;0;82403;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1838;RESECCION DE TUMOR BENIGNO O MALIGNO DE PARPADO, ESPESOR TOTAL, DOS TERCIOS;3;N;0;82404;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1865;RECONSTRUCCION DE PARPADOS CON COLGAJO;3;N;0;86001;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1913;INYECCION EN ESOFAGO DE SUSTANCIA PROFILACTICA O TERAPEUTICA VIA ENDOSCOPICA;3;N;0;422004;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1916;INSERCION DE DISPOSITIVO EN ESOFAGO VIA ENDOSCOPICA;3;N;0;429301;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1917;INSERCION DE OTRO DISPOSITIVO ESOFAGOGASTRICO;3;N;0;429501;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
1955;INYECCION DE SUSTANCIA MIORELAJANTE EN ESFINTER ANAL;3;N;0;499301;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
606;POTASIO EN SUERO U OTROS FLUIDOS;1;S;0;903859;0;14;120;0;A;;;;;;;;;;;;;;;;23;25;;;
4031;SERVICIO DE COMPLEJIDAD MEDIANA HABITACION BIPERSONAL;7;N;N;S11202;;1;;;A;;N;;N;N;;;;;N;;N;N;;;;;N;;
3620;ADMINISTRACION DE TOXOIDE DE TETANOS;4;N;0;993107;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
1896;PLASTIA DE PUNTO LAGRIMAL MODIFICADA CON SUTURAS;3;N;0;97301;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1910;TRASPLANTE AUTOLOGO DE CELULAS MADRES HEMATOPOYETICAS DE SANGRE PERIFERICA;3;N;0;410502;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1911;TRASPLANTE ALOGENICO DE CELULAS MADRES HEMATOPOYETICAS DE SANGRE PERIFERICA;3;N;0;410602;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1912;TRASPLANTE ALOGENICO DE CELULAS MADRES HEMATOPOYETICAS DE CORDON UMBILICAL;3;N;0;410603;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1817;ANESTESIA REGIONAL INTRAVENOSA;3;N;0;48204;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
1961;RADIOGRAFIA DE CRANEO SIMPLE;3;S;0;870001;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
3098;INSERCION DE CATETER CENTRAL MINIMAMENTE INVASIVA;4;N;0;389105;0;;120;0;A;;;;;;;;;;;;;;;;17;18;;;
4032;SERVICIO DE COMPLEJIDAD ALTA HABITACION UNIPERSONAL;7;N;N;S11301;;1;;;A;;N;;N;N;;;;;N;;N;N;;;;;N;;
3032;BLOQUEO DE PLEJO LUMBOSACRO;4;N;0;53103;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
1960;ECOGRAFIA DE OTROS SITIOS TORACICOS;3;N;0;881212;0;7;120;0;A;;.;;;;;;;;;;;;;;12;42;;;
1823;ABLACION PARCIAL DE TIROIDES VIA PERCUTANEA;3;N;0;62101;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
1986;RADIOGRAFIAS INTRAORALES CORONALES;3;N;0;870460;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1987;RADIOGRAFIA DE TEJIDOS BLANDOS DE CUELLO;3;N;0;870601;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1988;RADIOGRAFIA DE CAVUM FARINGEO;3;N;0;870602;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
1824;ABLACION PARCIAL DE PARATIROIDES VIA PERCUTANEA;3;N;0;68201;0;7;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2088;LINFANGIOGRAFIA INTRATORACICA SOD;3;N;0;876400;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2100;LINFANGIOGRAFIA ABDOMINAL (UNILATERAL O BILATERAL);3;N;0;877301;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2101;LINFANGIOGRAFIA PELVICA (UNILATERAL O BILATERAL);3;N;0;877302;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2120;LINFANGIOGRAFIA DE UN MIEMBRO SUPERIOR;3;N;0;878501;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2121;LINFANGIOGRAFIA DE AMBOS MIEMBROS SUPERIORES;3;N;0;878502;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2122;LINFANGIOGRAFIA DE MIEMBRO INFERIOR;3;N;0;878601;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2123;LINFANGIOGRAFIA DE AMBOS MIEMBROS INFERIORES;3;N;0;878602;0;7;120;0;A;;.;;;;;;;;;;;;;;17;18;;;
2566;BRAQUITERAPIA INTERSTICIAL CON ALTA TASA DE DOSIS;2;N;0;922601;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2567;BRAQUITERAPIA METABOLICA NCOC +;2;N;0;922610;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2568;BRAQUITERAPIA: IMPLANTES PERMANENTES NCOC ;2;N;0;922690;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2578;ACUPUNTURA Y TERAPIA NEURAL SOD +;2;N;0;999100;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2580;ARTERIOGRAFIA SUPRARENAL BILATERAL SELECTIVA;2;N;0;877131;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2592;ARTERIOGRAFIA PERIFERICA DE MIEMBROS INFERIORES BILATERAL CON AO;3;S;0;878211;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
384;HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL;1;S;0;902207;0;14;120;0;A;;.;;;;;;;;;;;;;;5;;;;
2003;RADIOGRAFIA DE TORAX (P.A. O A.P. Y LATERAL, DECUBITO LATERAL, OBLICUAS O LATERAL) CON BARIO;3;N;0;871121;0;7;120;0;A;;.;;;;;;;;;;;;;;23;25;;;
3644;ADMINISTRACION DE ANTITOXINA TETANICA SOD;4;N;0;994100;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2712;ANGIORRETINOFLUORESCEINOGRAFIA SOD +;4;N;0;951200;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
531;AMONIO;1;N;0;903602;0;14;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2581;ARTERIOGRAFIA SUPRARRENAL UNILATERAL SELECTIVA;2;N;0;877132;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2597;ARTERIOGRAFIA RENAL BILATERAL SELECTIVA CON AORTOGRAMA ABDOMINAL;2;N;0;877121;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2598;ARTERIOGRAFIA RENAL UNILATERAL SELECTIVA CON AORTOGRAMA ABDOMINA;2;N;0;877122;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2602;ANGIOPLASTIA CORONARIA PERCUTANEA (ENDOVASCULAR) CON INFUSION DE SUSTANCIA TERAPEUTICA UNO O DOS VASOS;2;N;0;360201;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2603;ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA SIMPLE CON INFUSION DE SUSTANCIA TERAPEUTICA MAS DE DOS VASOS;2;N;0;360202;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2611;ARTERIOGRAFIA DE CAROTIDA EXTERNA BILATERAL SELECTIVA EXTRACRANENANA;2;N;0;874111;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2612;ARTERIOGRAFIA DE CAROTIDA EXTERNA BILATERAL SELECTIVA INTRACRANEANA;2;N;0;874112;0;8;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2718;AJUSTE DE COMPONENTES EXTERNOS DE PROTESIS COCLEAR;4;N;0;954902;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2744;ANGIOPLASTIA SIN STENT;4;N;0;C40558;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2749;ASPIRACION DIAGNOSTICA DE VôTREO SOD;4;N;0;141100;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2751;ASPIRACION DE OIDO MEDIO O CAVIDAD MASTOIDEA SOD +;4;N;0;202400;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2762;BRONCOSCOPIA A TRAVES DE ESTOMA ARTIFICIAL SOD;4;N;0;332100;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2763;BRONCOSCOPIA FIBRO-APTICA SOD ;4;N;0;332200;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2764;BRONCOSCOPIA RIGIDA CON LAVADO BRONQUIAL;4;N;0;332301;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2765;BRONCOSCOPIA FIBRO-OPTICA CON CEPILLADO BRONQUIAL +;4;N;0;332701;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2771;ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA MULTIPLE (ATERECT;4;N;0;360500;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2774;ABLACION CON CATETER DE LESION O TEJIDO DEL CORAZON POR RADIOFRE;4;N;0;373402;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2781;ANGIOPLASTIA O ATERECTOMIA DE VASOS NO CORONARIOS CON PROTESIS (STENT) O (S) SOD;4;N;0;395000;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2789;ASPIRACION PERCUTANEA DE HIGADO SOD;4;N;0;509100;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2792;BIOPSIA ABIERTA DE PERITONEO (MESENTERIO Y OMENTO) +;4;N;0;542301;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2798;ANALISIS Y PRIORIZACION;4;N;0;A11001;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2799;ARTROSCOPIA DIAGNOSTICA FACIAL SOD;4;N;0;761300;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2801;ARTERIOGRAFIA PERIFERICA A TRAVES DE CATETER PREVIAMENTE COLOCAD;4;N;0;878912;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2819;AUDIOMETRIA SOD ;4;N;0;954100;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2820;ASISTENCIA TECNICA DEPARTAMENTAL Y/O MUNICIPAL;4;N;0;A11020;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
2835;ADMINISTRACION [APLICACION] DE PRUEBA DE INTELIGENCIA (CUALQUIER TIPO) SOD;4;N;0;940100;0;;120;0;A;;.;;;;;;;;;;;;;;5;31;;;
